   0.0000400000,    1.9115495939
   0.0000600000,    1.9055167840
   0.0000800000,    1.8994711389
   0.0001000000,    1.8936362961
   0.0001200000,    1.8876642888
   0.0001400000,    1.8819661367
   0.0001600000,    1.8761773420
   0.0002000000,    1.8650493699
   0.0002400000,    1.8540785202
   0.0002800000,    1.8434027119
   0.0003200000,    1.8328885256
   0.0004000000,    1.8127046895
   0.0004800000,    1.7933491907
   0.0005600000,    1.7749232555
   0.0006400000,    1.7572019555
   0.0008000000,    1.7241636651
   0.0009600000,    1.6936991914
   0.0011200000,    1.6655715826
   0.0012800000,    1.6395342187
   0.0016000000,    1.5933535335
   0.0019200000,    1.5532767629
   0.0022400000,    1.5179063788
   0.0025600000,    1.4865239774
   0.0032000000,    1.4345772238
   0.0038400000,    1.3914763601
   0.0044800000,    1.3562324143
   0.0051200000,    1.3276199902
   0.0064000000,    1.2835173013
   0.0076800000,    1.2499449087
   0.0089600000,    1.2228834402
   0.0102400000,    1.2006158663
   0.0128000000,    1.1693991721
   0.0153600000,    1.1438435969
   0.0179200000,    1.1245500201
   0.0204800000,    1.1081877213
   0.0256000000,    1.0903469809
   0.0307200000,    1.0832855118
   0.0358400000,    1.0794301299
   0.0409600000,    1.0740332061
   0.0512000000,    1.0570485394
   0.0614400000,    1.0567351719
   0.0716800000,    1.0607441533
   0.0819200000,    1.0649137920
   0.1024000000,    1.0551220115
   0.1228800000,    1.0453520840
   0.1433600000,    1.0430103908
   0.1638400000,    1.0431983316
   0.2048000000,    1.0320413461
   0.2457600000,    1.0307024326
   0.2867200000,    1.0340493917
   0.3276800000,    1.0484316356
   0.4096000000,    1.0396474916
   0.4915200000,    1.0310018131
   0.5734400000,    1.0224661935
   0.6553600000,    1.0252142503
   0.8192000000,    1.0255199048
   0.9830400000,    1.0168065751
   1.1468800000,    1.0175714745
   1.3107200000,    1.0162422200
   1.6384000000,    1.0092543194
   1.9660800000,    1.0017651860
   2.2937600000,    0.9996497502
   2.6214400000,    0.9978423139
   3.2768000000,    1.0022895131
   3.9321600000,    1.0089765239
   4.5875200000,    1.0003653683
   5.2428800000,    0.9952473871
