# AlexData of ../../../../../../data/Kati/2014/8 jan 2014/ALEX d+a new 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=1.08672	MinS=0.750185	MaxPR=0.195964	MinPR=-0.1	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=1300	dutyCycleDex=0.547826	dutyCycleAex=0.452174	
# 778 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
27.5256	0.0016574	0.0029111	1.00143	52	49	2	1	0	-0.0005175	-0.0029044	0.0392157	0.980769	1	39755	39765	39755	-699.789
30.8731	0.0021792	0.0258796	0.97886	86	78	5	0	3	0	-0.0003607	0.060241	0.965116	1	44194	44192	44192	46.3026
32.6939	0.0015418	0.0102068	0.997668	43	40	2	0	1	-0.0012288	-0.0043748	0.047619	0.976744	1	46796	46795	46795	427.795
32.6976	0.0016607	-0.0194233	0.957644	51	47	1	0	3	0	-0.0001579	0.0208333	0.941176	1	46845	46844	46844	22.6093
34.4714	0.0010255	1.09726	0.0493761	48	0	4	1	43	0	-0.0011449	1	0.0833333	1	49272	49241	49241	0.0519407
34.5211	0.0017934	-0.0179193	0.930296	44	39	1	1	3	0	-0.002655	0.025	0.909091	1	49363	49378	49363	13.3464
34.9408	0.001233	-0.0193858	0.779332	49	37	1	1	10	0	-0.0008508	0.0263158	0.77551	1	50016	50017	50016	3.5317
36.1778	0.001999	1.087	0.109947	48	0	7	1	40	0	-0.0021355	1	0.145833	1	51627	51613	51613	0.123529
36.961	0.0016831	0.0526885	0.979637	48	42	4	1	1	0	-0.0012651	0.0869565	0.958333	1	52869	52873	52869	48.1087
37.4502	0.002217	0.0355242	0.968627	58	51	4	0	3	0	-0.000202	0.0727273	0.948276	1	53591	53590	53590	30.8746
