ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:39:35"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     117.79320
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  7.33952E+002	 -3.94703E-004
  7.86381E+002	 -1.64558E-003
  8.38810E+002	 -2.22965E-003
  9.43667E+002	 -1.70186E-004
  1.04852E+003	 -5.62730E-004
  1.15338E+003	  8.80356E-005
  1.25824E+003	 -1.55963E-003
  1.36310E+003	  1.09378E-003
  1.46796E+003	 -9.09373E-004
  1.57281E+003	  9.78158E-004
  1.67767E+003	  4.04962E-004
  1.88739E+003	 -4.31814E-004
  2.09710E+003	 -2.75675E-004
  2.30682E+003	  1.41790E-004
  2.51653E+003	 -6.81164E-004
  2.72625E+003	  8.16502E-004
  2.93596E+003	  8.93634E-004
  3.14568E+003	 -3.88980E-004

"Count Rate"
       0.03906	     111.53372
       0.07813	     109.78619
       0.11719	     111.48232
       0.15625	     135.20251
       0.19531	     106.49671
       0.23438	     127.49281
       0.27344	     135.99918
       0.31250	     139.46855
       0.35156	     132.09293
       0.39063	      78.38199
       0.42969	     115.85116
       0.46875	     106.44531
       0.50781	     129.93422
       0.54688	      99.01830
       0.58594	     106.59951
       0.62500	     123.32957
       0.66406	     125.66817
       0.70313	     124.87151
       0.74219	     116.18524
       0.78125	     106.29112
       0.82031	     143.19490
       0.85938	     126.33635
       0.89844	     140.88199
       0.93750	     100.32895
       0.97656	     137.66962
       1.01563	     121.65913
       1.05469	     154.83656
       1.09375	     101.02283
       1.13281	     150.31354
       1.17188	     133.60918
       1.21094	     120.39988
       1.25000	     107.91016
       1.28906	     110.99404
       1.32813	     104.62068
       1.36719	      81.51727
       1.40625	     140.21382
       1.44531	     116.67352
       1.48438	     123.07258
       1.52344	     115.77406
       1.56250	     133.30078
       1.60156	     144.73685
       1.64063	      95.42044
       1.67969	      84.47266
       1.71875	     109.32361
       1.75781	     102.79606
       1.79688	     124.48602
       1.83594	     135.43381
       1.87500	     120.88816
       1.91406	     130.93648
       1.95313	     129.21465
       1.99219	     114.90029
       2.03125	      82.75082
       2.07031	      89.04708
       2.10938	     137.54112
       2.14844	     105.52015
       2.18750	     130.75658
       2.22656	      90.12644
       2.26563	     124.53742
       2.30469	     111.25103
       2.34375	     118.72945
       2.38281	     104.13240
       2.42188	     134.73993
       2.46094	     103.59273
       2.50000	     120.27139
       2.53906	     131.01357
       2.57813	     109.58060
       2.61719	     105.77714
       2.65625	     131.27057
       2.69531	     120.96526
       2.73438	     151.72697
       2.77344	     144.01727
       2.81250	     124.43462
       2.85156	     146.97266
       2.89063	      93.90420
       2.92969	     132.83820
       2.96875	     113.53825
       3.00781	      91.71978
       3.04688	     104.69778
       3.08594	     104.20950
       3.12500	     118.00987
       3.16406	     107.57607
       3.20313	     141.67867
       3.24219	     120.34848
       3.28125	     107.73026
       3.32031	     131.39906
       3.35938	     104.87768
       3.39844	     100.43175
       3.43750	     128.93195
       3.47656	     134.43153
