ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:37:20"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     120.69464
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.09600E-001
  4.00000E-004	  5.78010E-001
  6.00000E-004	  5.36737E-001
  8.00000E-004	  5.12116E-001
  1.00000E-003	  4.87316E-001
  1.20000E-003	  4.67249E-001
  1.40000E-003	  4.78172E-001
  1.60000E-003	  4.49495E-001
  1.80000E-003	  4.48392E-001
  2.00000E-003	  4.27400E-001
  2.20000E-003	  4.37220E-001
  2.40000E-003	  4.25300E-001
  2.60000E-003	  4.24589E-001
  2.80000E-003	  4.03490E-001
  3.00000E-003	  3.99754E-001
  3.20000E-003	  3.91856E-001
  3.60000E-003	  3.93903E-001
  4.00000E-003	  3.82874E-001
  4.40000E-003	  3.70705E-001
  4.80000E-003	  3.62291E-001
  5.20000E-003	  3.70028E-001
  5.60000E-003	  3.58020E-001
  6.00000E-003	  3.43414E-001
  6.40000E-003	  3.40285E-001
  7.20000E-003	  3.38947E-001
  8.00000E-003	  3.26013E-001
  8.80000E-003	  3.09433E-001
  9.60000E-003	  3.08643E-001
  1.04000E-002	  3.01829E-001
  1.12000E-002	  2.96164E-001
  1.20000E-002	  2.86201E-001
  1.28000E-002	  2.84098E-001
  1.44000E-002	  2.76568E-001
  1.60000E-002	  2.68077E-001
  1.76000E-002	  2.61633E-001
  1.92000E-002	  2.61455E-001
  2.08000E-002	  2.51284E-001
  2.24000E-002	  2.47624E-001
  2.40000E-002	  2.49118E-001
  2.56000E-002	  2.45408E-001
  2.88000E-002	  2.41104E-001
  3.20000E-002	  2.36076E-001
  3.52000E-002	  2.33517E-001
  3.84000E-002	  2.29080E-001
  4.16000E-002	  2.27068E-001
  4.48000E-002	  2.24762E-001
  4.80000E-002	  2.23087E-001
  5.12000E-002	  2.23426E-001
  5.76000E-002	  2.22138E-001
  6.40000E-002	  2.17678E-001
  7.04000E-002	  2.15202E-001
  7.68000E-002	  2.14459E-001
  8.32000E-002	  2.12121E-001
  8.96000E-002	  2.09934E-001
  9.60000E-002	  2.08121E-001
