ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:38:48"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	         1
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     116.76908
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.23764E-001
  4.00000E-004	  6.12187E-001
  6.00000E-004	  6.06504E-001
  8.00000E-004	  5.58855E-001
  1.00000E-003	  5.32189E-001
  1.20000E-003	  4.89786E-001
  1.40000E-003	  4.83666E-001
  1.60000E-003	  5.15578E-001
  1.80000E-003	  4.94595E-001
  2.00000E-003	  4.49132E-001
  2.20000E-003	  4.53503E-001
  2.40000E-003	  4.50881E-001
  2.60000E-003	  4.66181E-001
  2.80000E-003	  4.08040E-001
  3.00000E-003	  4.11538E-001
  3.20000E-003	  4.13738E-001
  3.60000E-003	  4.45868E-001
  4.00000E-003	  4.22262E-001
  4.40000E-003	  4.16142E-001
  4.80000E-003	  4.13519E-001
  5.20000E-003	  3.80077E-001
  5.60000E-003	  3.88602E-001
  6.00000E-003	  4.04121E-001
  6.40000E-003	  3.71553E-001
  7.20000E-003	  3.53630E-001
  8.00000E-003	  3.48821E-001
  8.80000E-003	  3.29259E-001
  9.60000E-003	  3.23016E-001
  1.04000E-002	  3.18194E-001
  1.12000E-002	  2.90108E-001
  1.20000E-002	  3.23767E-001
  1.28000E-002	  3.18710E-001
  1.44000E-002	  2.89595E-001
  1.60000E-002	  2.98914E-001
  1.76000E-002	  2.74308E-001
  1.92000E-002	  2.80593E-001
  2.08000E-002	  2.69390E-001
  2.24000E-002	  2.70210E-001
