ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:37:44"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     120.07671
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  7.33952E+002	 -2.37630E-003
  7.86381E+002	 -3.03999E-003
  8.38810E+002	 -3.43783E-003
  9.43667E+002	 -2.37262E-003
  1.04852E+003	 -1.71781E-003
  1.15338E+003	  6.19909E-004
  1.25824E+003	  3.80533E-003
  1.36310E+003	  4.30368E-003
  1.46796E+003	 -3.11470E-003
  1.57281E+003	  2.63387E-004

"Count Rate"
       0.02621	     103.83606
       0.05243	     129.62341
       0.07864	     111.54175
       0.10486	     117.64526
       0.13107	     131.49261
       0.15729	     146.40808
       0.18350	      99.56360
       0.20972	     162.58240
       0.23593	     103.49274
       0.26214	      81.44379
       0.28836	     116.80603
       0.31457	     127.67792
       0.34079	     119.05670
       0.36700	      96.24481
       0.39322	     134.92584
       0.41943	     139.12201
       0.44564	     151.44348
       0.47186	     116.08124
       0.49807	     134.81140
       0.52429	     126.34277
       0.55050	     110.70251
       0.57672	      87.89063
       0.60293	     144.65332
       0.62915	     121.42181
       0.65536	     126.49536
       0.68157	     117.45453
       0.70779	      80.45197
       0.73400	     120.92590
       0.76022	     119.89594
       0.78643	     107.42188
       0.81265	     132.56073
       0.83886	      89.98871
       0.86508	     128.89862
       0.89129	     147.85767
       0.91750	     131.49261
       0.94372	     104.78973
       0.96993	     126.87683
       0.99615	     147.05658
       1.02236	      83.77075
       1.04858	      88.46283
       1.07479	     149.04022
       1.10100	     162.50610
       1.12722	     136.18469
       1.15343	     103.83606
       1.17965	     142.13562
       1.20586	     121.87958
       1.23208	     123.51990
       1.25829	     136.87134
       1.28451	     106.04858
       1.31072	      96.58813
       1.33693	      99.48730
       1.36315	     124.89319
       1.38936	      93.80341
       1.41558	     152.28271
       1.44179	      89.95056
       1.46801	      84.95331
       1.49422	     163.57422
       1.52044	     120.62073
       1.54665	     134.23920
       1.57286	     109.93958
       1.59908	     132.29370
       1.62529	     133.70514
       1.65151	     130.95856
       1.67772	     102.84424
       1.70394	     113.98315
       1.73015	     118.78967
       1.75636	     138.39722
       1.78258	     178.18451
       1.80879	     152.54974
       1.83501	      99.71619
       1.86122	     162.27722
       1.88744	     132.44629
       1.91365	     154.03748
       1.93987	     104.98047
       1.96608	      94.94781
       1.99229	     121.53625
       2.01851	     109.21478
       2.04472	      83.23669
       2.07094	     116.61530
       2.09715	     118.71338
       2.12337	     120.92590
       2.14958	     107.26929
       2.17580	     109.02405
       2.20201	     136.10840
       2.22822	     149.49799
       2.25444	     115.35645
       2.28065	     116.00494
       2.30687	      96.47369
       2.33308	      94.68079
       2.35930	     104.10309
       2.38551	     135.00214
       2.41172	     128.66974
       2.43794	     145.07294
       2.46415	     113.71613
       2.49037	      99.56360
       2.51658	      85.14404
       2.54280	     112.19025
       2.56901	     102.88239
       2.59523	      96.58813
       2.62144	     117.34009
       2.64765	     110.74066
       2.67387	     109.78699
       2.70008	     124.66431
       2.72630	     130.53894
       2.75251	     129.81415
       2.77873	     113.90686
       2.80494	     164.64233
       2.83116	     118.21747
       2.85737	     134.39178
       2.88358	     123.55804
       2.90980	     107.87964
       2.93601	     107.76520
       2.96223	     116.84418
       2.98844	     150.33722
       3.01466	     163.65051
       3.04087	     138.70239
       3.06708	     126.34277
       3.09330	     149.49799
       3.11951	     165.48157
       3.14573	     129.20380
       3.17194	     109.97772
       3.19816	     123.17657
       3.22437	     100.47913
       3.25059	     114.36462
       3.27680	     131.91223
       3.30301	     113.60168
       3.32923	     105.59082
       3.35544	     100.44098
       3.38166	     119.89594
       3.40787	     171.27991
       3.43409	     159.30176
       3.46030	     146.59882
       3.48652	     123.10028
       3.51273	      99.75433
       3.53894	     114.21204
       3.56516	     128.51715
       3.59137	     106.20117
       3.61759	     182.15179
       3.64380	      90.06500
       3.67002	      98.49548
       3.69623	      92.43011
       3.72244	      74.69177
       3.74866	     104.59900
       3.77487	     100.70801
       3.80109	     135.91766
       3.82730	     125.80872
       3.85352	     114.74609
       3.87973	      98.83881
       3.90595	      77.66724
       3.93216	     120.35370
       3.95837	      93.57452
       3.98459	     129.39453
       4.01080	     137.48169
       4.03702	     101.08948
       4.06323	     120.20111
       4.08945	     133.39996
       4.11566	     129.89044
       4.14188	     108.83331
       4.16809	      88.38654
       4.19430	     107.26929
       4.22052	      90.82794
       4.24673	     109.86328
       4.27295	     123.86322
       4.29916	     138.20648
       4.32538	     120.54443
       4.35159	      99.83063
       4.37780	     117.30194
       4.40402	     149.53613
       4.43023	     133.43811
       4.45645	     124.89319
       4.48266	     101.73798
       4.50888	     109.55811
       4.53509	     100.17395
       4.56131	      93.99414
       4.58752	     111.77063
       4.61373	     113.63983
       4.63995	     147.39990
       4.66616	      93.07861
       4.69238	      88.53912
       4.71859	     120.39185
       4.74481	     157.81403
       4.77102	     112.91504
       4.79724	     102.72980
