ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:38:26"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     118.84834
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.15733E-001
  4.00000E-004	  5.80029E-001
  6.00000E-004	  5.27153E-001
  8.00000E-004	  4.84918E-001
  1.00000E-003	  4.88495E-001
  1.20000E-003	  4.68809E-001
  1.40000E-003	  4.57966E-001
  1.60000E-003	  4.44903E-001
  1.80000E-003	  4.46095E-001
  2.00000E-003	  4.29711E-001
  2.20000E-003	  4.31253E-001
  2.40000E-003	  4.22483E-001
  2.60000E-003	  4.20721E-001
  2.80000E-003	  4.07218E-001
  3.00000E-003	  4.00209E-001
  3.20000E-003	  4.03347E-001
  3.60000E-003	  3.91192E-001
  4.00000E-003	  3.79853E-001
  4.40000E-003	  3.68304E-001
  4.80000E-003	  3.62589E-001
  5.20000E-003	  3.56993E-001
  5.60000E-003	  3.52535E-001
  6.00000E-003	  3.44572E-001
  6.40000E-003	  3.43593E-001
  7.20000E-003	  3.32980E-001
  8.00000E-003	  3.18481E-001
  8.80000E-003	  3.17031E-001
  9.60000E-003	  3.05340E-001
  1.04000E-002	  2.99203E-001
  1.12000E-002	  3.00060E-001
  1.20000E-002	  2.91194E-001
  1.28000E-002	  2.81785E-001
  1.44000E-002	  2.79866E-001
  1.60000E-002	  2.68268E-001
  1.76000E-002	  2.61745E-001
  1.92000E-002	  2.59592E-001
  2.08000E-002	  2.52665E-001
  2.24000E-002	  2.47462E-001
  2.40000E-002	  2.46191E-001
  2.56000E-002	  2.44426E-001
  2.88000E-002	  2.37438E-001
  3.20000E-002	  2.34768E-001
  3.52000E-002	  2.31605E-001
  3.84000E-002	  2.30164E-001
  4.16000E-002	  2.27514E-001
  4.48000E-002	  2.25782E-001
  4.80000E-002	  2.20928E-001
  5.12000E-002	  2.21777E-001
  5.76000E-002	  2.20405E-001
  6.40000E-002	  2.17329E-001
  7.04000E-002	  2.13890E-001
  7.68000E-002	  2.13614E-001
  8.32000E-002	  2.10707E-001
  8.96000E-002	  2.10252E-001
  9.60000E-002	  2.08212E-001
  1.02400E-001	  2.07771E-001
  1.15200E-001	  2.03467E-001
  1.28000E-001	  2.00689E-001
  1.40800E-001	  1.98750E-001
  1.53600E-001	  1.95564E-001
  1.66400E-001	  1.91034E-001
  1.79200E-001	  1.87628E-001
  1.92000E-001	  1.84291E-001
  2.04800E-001	  1.82007E-001
  2.30400E-001	  1.77736E-001
  2.56000E-001	  1.73054E-001
  2.81600E-001	  1.69508E-001
  3.07200E-001	  1.63793E-001
  3.32800E-001	  1.59378E-001
  3.58400E-001	  1.56015E-001
  3.84000E-001	  1.53570E-001
  4.09600E-001	  1.49466E-001
  4.60800E-001	  1.42280E-001
  5.12000E-001	  1.37601E-001
  5.63200E-001	  1.31964E-001
  6.14400E-001	  1.27258E-001
  6.65600E-001	  1.21382E-001
  7.16800E-001	  1.16670E-001
  7.68000E-001	  1.12430E-001
  8.19200E-001	  1.08592E-001
  9.21600E-001	  1.01295E-001
  1.02400E+000	  9.55163E-002
  1.12640E+000	  9.06836E-002
  1.22880E+000	  8.54675E-002
  1.33120E+000	  8.14289E-002
  1.43360E+000	  7.68978E-002
  1.53600E+000	  7.36734E-002
  1.63840E+000	  7.10159E-002
  1.84320E+000	  6.56296E-002
  2.04800E+000	  6.11856E-002
  2.25280E+000	  5.67893E-002
  2.45760E+000	  5.25703E-002
  2.66240E+000	  4.92037E-002
  2.86720E+000	  4.63426E-002
  3.07200E+000	  4.40472E-002
  3.22560E+000	  4.29361E-002
  3.63520E+000	  3.83014E-002
  4.04480E+000	  3.46156E-002
  4.45440E+000	  3.10908E-002
  4.86400E+000	  2.84867E-002
  5.27360E+000	  2.53674E-002
  5.68320E+000	  2.33476E-002
  6.09280E+000	  2.07802E-002
  6.50240E+000	  1.95536E-002
  7.32160E+000	  1.69257E-002
  8.14080E+000	  1.46347E-002
  8.96000E+000	  1.28360E-002
  9.77920E+000	  1.15186E-002
  1.05984E+001	  1.10432E-002
  1.14176E+001	  9.57721E-003
  1.22368E+001	  9.19800E-003
  1.30560E+001	  8.78315E-003
  1.46944E+001	  7.23035E-003
  1.63328E+001	  7.05036E-003
  1.79712E+001	  6.91096E-003
  1.96096E+001	  7.87029E-003
  2.12480E+001	  6.82493E-003
  2.28864E+001	  5.14745E-003
  2.45248E+001	  6.15684E-003
  2.61632E+001	  5.68041E-003
  2.94400E+001	  6.43982E-003
  3.27168E+001	  2.94946E-003
  3.59936E+001	  8.56934E-004
  3.92704E+001	  9.53008E-004
  4.25472E+001	  2.13074E-003
  4.58240E+001	  1.20263E-003
  4.91008E+001	 -3.52578E-004
  5.23776E+001	 -9.52331E-006
  5.89312E+001	 -2.73304E-003
  6.54848E+001	 -4.04252E-004
  7.20384E+001	  8.58811E-004
  7.85920E+001	  4.52711E-003
  8.51456E+001	  2.34877E-004
  9.16992E+001	 -1.19728E-003
