# AlexData of ../../../../../../data/Kati/2014/7 jan 2014/Alex oligo2new 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=0.750185	MinS=0.280812	MaxPR=1.00852	MinPR=0.758296	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=1300	dutyCycleDex=0.547889	dutyCycleAex=0.452111	
# 2637 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
58.0059	0.0032246	0.752789	0.498105	97	12	37	0	48	0	-0.0006914	0.755102	0.505155	1	137204	137161	137161	0.992448
58.0452	0.0008733	1.09374	0.0346377	60	0	4	2	54	-0.000618	-0.0024584	1	0.0666667	1	137300	137301	137300	0.0358805
58.1118	0.0013158	1.01804	0.363829	45	0	17	0	28	0	-0.0014697	1	0.377778	1	137484	137440	137440	0.571903
58.2413	0.0016192	0.298492	0.583095	41	16	8	1	16	-0.0004575	-0.0011808	0.333333	0.585366	1	137760	137759	137759	1.39863
58.3088	0.0009332	1.01697	0.299595	41	0	13	0	28	0	-0.0014162	1	0.317073	1	138021	137981	137981	0.427746
58.7697	0.0011225	0.0473196	0.911464	40	33	3	0	4	0	-0.0001803	0.0833333	0.9	1	139168	139167	139167	10.2949
58.7794	0.0012994	1.11865	0.0622322	40	0	4	0	36	0	-2.07e-005	1	0.1	1	139273	139219	139219	0.066362
59.4265	0.0005964	0.948158	0.370099	47	1	17	0	29	0	-0.0006798	0.944444	0.382979	1	140665	140644	140644	0.587551
60.0544	0.0008792	1.00664	0.729532	40	0	29	0	11	0	-0.0001179	1	0.725	1	142101	142036	142036	2.6973
60.1687	0.0023151	0.929761	0.480046	78	3	35	0	40	0	-0.0005318	0.921053	0.487179	1	142338	142318	142318	0.923249
60.1885	0.0017858	0.939143	0.551809	81	3	42	0	36	0	-0.0002535	0.933333	0.555556	1	142447	142430	142430	1.23119
60.1915	0.0032155	0.597302	0.492188	72	14	22	0	36	0	-0.0001704	0.611111	0.5	1	142521	142513	142513	0.969233
60.5322	0.0008279	0.903274	0.444952	44	2	18	0	24	0	-0.0002774	0.9	0.454545	1	143430	143431	143430	0.801645
60.8512	0.0018556	0.83947	0.531322	45	4	20	1	20	0	-0.002286	0.833333	0.533333	1	144171	144173	144171	1.13366
61.0291	0.0014729	0.763528	0.60692	56	8	26	2	20	-0.0009088	-0.0023073	0.764706	0.607143	1	144575	144576	144575	1.54401
61.1577	0.0014368	0.0720245	0.975499	50	43	5	0	2	-0.0006046	-0.0009764	0.104167	0.96	1	144895	144894	144894	39.8146
61.7925	0.0018604	0.975434	0.564804	46	1	25	0	20	0	-0.0001372	0.961538	0.565217	1	146264	146258	146258	1.29782
62.0005	0.0011932	0.94331	0.233183	59	1	14	1	43	0	-0.0001021	0.933333	0.254237	1	146936	146916	146916	0.304092
62.0841	0.0041929	0.997719	0.397797	122	1	49	0	72	0	-0.0009767	0.98	0.409836	1	147244	147157	147157	0.66057
62.0929	0.0023709	0.069081	0.885827	53	41	5	0	7	-0.0005553	-0.0011255	0.108696	0.867925	1	147317	147316	147316	7.7586
62.3986	0.0020061	0.0636599	0.925696	55	45	5	0	5	-0.0032026	-0.0041472	0.1	0.909091	1	148065	148066	148065	12.4582
62.9985	0.0008196	0.665057	0.0616067	42	1	3	0	38	0	-0.0033769	0.75	0.0952381	1	149668	149669	149668	0.0656513
63.6006	0.0023641	0.944645	0.494519	58	2	27	0	29	0	-0.0002952	0.931034	0.5	1	151022	150984	150984	0.978314
63.801	0.0015238	0.970511	0.331649	72	1	24	0	47	0	-0.001584	0.96	0.347222	1	151372	151373	151372	0.49622
64.0158	0.002232	0.962189	0.424783	99	2	41	1	55	0	-0.0005561	0.953488	0.434343	1	151944	151918	151918	0.738475
64.5351	0.0016677	1.0312	0.296969	41	0	13	0	28	0	-0.0002792	1	0.317073	1	152910	152870	152870	0.422412
64.8344	0.0013698	0.747245	0.410322	97	10	31	0	56	0	-0.0012331	0.756098	0.42268	1	153484	153471	153471	0.69584
64.8421	0.0010727	1.0088	0.628839	43	0	27	0	16	0	-0.0003143	1	0.627907	1	153628	153586	153586	1.69425
65.2144	0.0028919	0.804022	0.492669	102	10	41	0	51	-2e-006	-0.0010719	0.803922	0.5	1	154359	154361	154359	0.9711
65.4343	0.0016077	0.673375	0.480267	45	7	15	0	23	-0.0007937	-0.0027207	0.681818	0.488889	1	154938	154940	154938	0.924066
