# AlexData of ../../../../../../data/Kati/2014/7 jan 2014/ALEX oligo1 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=0.798893	MinS=0.302952	MaxPR=0.919731	MinPR=0.491928	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=700.31	dutyCycleDex=0.549987	dutyCycleAex=0.450013	
# 2885 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
20.6428	0.0019633	0.802221	0.687965	58	8	32	0	18	0	-0.0006981	0.8	0.689655	1	44046	44039	44039	2.20477
20.7133	0.0009072	-0.462139	0.0275047	47	2	1	1	43	-0.0004062	-0.0004087	0.333333	0.0638298	1	44207	44206	44206	0.0282826
20.7993	0.0018091	0.581262	0.550223	75	17	25	0	33	0	-0.0003063	0.595238	0.56	1	44448	44440	44440	1.22332
20.8781	0.0040008	0.624615	0.592432	155	34	59	0	62	0	-0.0018267	0.634409	0.6	1	44648	44649	44648	1.45358
20.9198	0.00284	0.678189	0.496941	43	7	15	0	21	0	-0.00316	0.681818	0.511628	1	44856	44858	44856	0.987837
21.2278	0.0019277	0.725466	0.629709	52	9	24	0	19	0	-0.0004236	0.727273	0.634615	1	45331	45330	45330	1.70058
21.5365	0.0009077	0.820924	0.576487	48	5	23	0	20	0	-6.71e-005	0.821429	0.583333	1	45896	45891	45891	1.3612
21.7991	0.0023556	0.736389	0.423027	43	5	14	0	24	0	-0.0004088	0.736842	0.44186	1	46383	46375	46375	0.733183
21.8833	0.005175	0.789314	0.55233	318	37	141	1	139	0	-3.21e-005	0.792135	0.559748	1	46524	46513	46513	1.23379
22.0994	0.0015669	0.725299	0.624303	100	17	46	0	37	0	-0.0002592	0.730159	0.63	1	47171	47154	47154	1.66172
22.2301	0.0018788	0.801829	0.194373	44	2	8	0	34	0	-5e-007	0.8	0.227273	1	47576	47544	47544	0.241269
22.3924	0.0033116	0.0354474	0.848677	110	86	7	1	16	-0.0003518	-0.0009653	0.0752688	0.845455	1	47861	47860	47860	5.60837
22.4845	0.0018075	0.804049	0.336183	42	3	12	2	25	0	-0.0013018	0.8	0.357143	1	48117	48118	48117	0.506439
23.037	0.0020715	0.778913	0.667049	88	13	46	0	29	0	-0.0001593	0.779661	0.670455	1	48979	48977	48977	2.00345
23.041	0.0026821	0.7206	0.486307	163	22	59	1	81	0	-0.0003275	0.728395	0.496933	1	49076	49068	49068	0.946688
23.2442	0.0014551	0.545461	0.475173	47	10	13	0	24	0	-4.42e-005	0.565217	0.489362	1	49722	49719	49719	0.90539
23.2488	0.000622	0.775097	0.63795	42	6	21	0	15	0	-0.0004017	0.777778	0.642857	1	49778	49779	49778	1.76205
23.2622	0.0017557	0.764229	0.451433	84	9	30	0	45	0	-0.0009339	0.769231	0.464286	1	49918	49919	49918	0.822932
23.9018	0.0017463	0.540062	0.705669	41	13	16	0	12	0	-0.000373	0.551724	0.707317	1	50984	50977	50977	2.39753
23.9111	0.0009616	0.714463	0.519721	68	10	26	0	32	0	-0.0007017	0.722222	0.529412	1	51050	51039	51039	1.08212
23.9133	0.0025255	0.683406	0.59735	139	26	58	0	55	-0.0012199	-0.0007707	0.690476	0.604317	1	51127	51108	51108	1.48355
